0.01	0.503
0.02	0.506
0.03	0.508
0.04	0.511
0.05	0.513
0.06	0.516
0.07	0.518
0.08	0.521
0.09	0.523
0.1	0.526
0.11	0.529
0.12	0.531
0.13	0.534
0.14	0.536
0.15	0.539
0.16	0.542
0.17	0.544
0.18	0.547
0.19	0.555
0.2	0.568
0.21	0.583
0.22	0.605
0.23	0.645
0.24	0.666
0.25	0.678
0.26	0.69
0.27	0.702
0.28	0.713
0.29	0.725
0.3	0.737
0.31	0.748
0.32	0.76
0.33	0.772
0.34	0.784
0.35	0.795
0.36	0.807
0.37	0.819
0.38	0.831
0.39	0.843
0.4	0.855
0.41	0.868
0.42	0.88
0.43	0.892
0.44	0.904
0.45	0.916
0.46	0.929
0.47	0.941
0.48	0.953
0.49	0.965
0.5	0.978
0.51	0.99
0.52	1
0.53	1
0.54	1
0.55	1
0.56	1
0.57	1
0.58	1
0.59	1
0.6	1
0.61	1
0.62	1
0.63	1
0.64	1
0.65	1
0.66	1
0.67	1
0.68	1
0.69	1
0.7	1
0.71	1
0.72	1
0.73	1
0.74	1
0.75	1
0.76	1
0.77	1
0.78	1
0.79	1
0.8	1
0.81	1
0.82	1
0.83	1
0.84	1
0.85	1
0.86	1
0.87	1
0.88	1
0.89	1
0.9	1
0.91	1
0.92	1
0.93	1
0.94	1
0.95	1
0.96	1
0.97	1
0.98	1
0.99	1
1.0	1
1.01	1
1.02	1
1.03	1
1.04	1
1.05	1
1.06	1
1.07	1
1.08	1
1.09	1
1.1	1
1.11	1
1.12	1
1.13	1
1.14	1
1.15	1
1.16	1
1.17	1
1.18	1
1.19	1
1.2	1
1.21	1
1.22	1
1.23	1
1.24	1
1.25	1
1.26	1
1.27	1
1.28	1
1.29	1
1.3	1
1.31	1
1.32	1
1.33	1
1.34	1
1.35	1
1.36	1
1.37	1
1.38	1
1.39	1
1.4	1
1.41	1
1.42	1
1.43	1
1.44	1
1.45	1
1.46	1
1.47	1
1.48	1
1.49	1
1.5	1
1.51	1
1.52	1
1.53	1
1.54	1
1.55	1
1.56	1
1.57	1
1.58	1
1.59	1
1.6	1
1.61	1
1.62	1
1.63	1
1.64	1
1.65	1
1.66	1
1.67	1
1.68	1
1.69	1
1.7	1
1.71	1
1.72	1
1.73	1
1.74	1
1.75	1
1.76	1
1.77	1
1.78	1
1.79	1
1.8	1
1.81	1
1.82	1
1.83	1
1.84	1
1.85	1
1.86	1
1.87	1
1.88	1
1.89	1
1.9	1
1.91	1
1.92	1
1.93	1
1.94	1
1.95	1
1.96	1
1.97	1
1.98	1
1.99	1
2.0	1
